name;type_line;color;cost_total;atk;def;efficiency;stats;spell_card_cost;draw;move;discard;negate;sacrifice;destroy;deal_damage;must_attack;summon_from_grave;attach;mana_discount;scry;reveal_summon;reveal_draw;ramp;recycle;gain_life;sap;pump;mill;summon_token;trigger;change_attack;activated_cost;legendary_debuff;impulsive;discard_opp;condition_mult;grant_keyword_mult;draw_conditional;aggressive;draw_topdeck;deal_damage_target;stealth;discard_self;deal_damage_minion_or_player;deal_damage_all_enemies;deal_damage_all_minions;discard_self_hand;deal_damage_opponent;always_sapped;protector
Arkos, Plagueborn;Minion;black;10.0;6.0;6.0;-0.640892740682382;-10.023;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;2.4;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.8;1.22;;;;;;;;;;;;;;;;
Armoured Mole;Minion;black;1.0;0.0;1.0;0.37507059621199845;-0.35;0.0;0.0;0.8;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;;;;;;;;;;;;;;;;;;
Awaken the Meek;Quest;black;1.0;;;0.2518334746401732;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.33;0.0;0.3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Back Ritual;Spell;black;2.0;;;0.0;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Bad Omen;Spell;black;2.0;;;0.2912121560576994;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.538;0.555;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Black Door;Spell;black;2.0;;;0.0;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Bound by Darkness;Spell;black;1.0;;;1.4000000000000001;0.0;-0.0;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;3.5;;;;;;;;;;;;;;;
Brain Fog;Spell;black;1.0;;;1.079583686600433;0.0;-0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;2.159;;;;;;;;;;
Cold Impact;Spell;black;3.0;;;0.375;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Cold-Hearted Overseer;Minion;black;6.0;0.0;4.0;-1.2763250263403934;-10.023;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;1.5;1.2;0.0;0.0;0.0;0.0;0.0;;1.22;;;;;;;;;;;;;;;;
Dark Dealings;Spell;black;5.0;;;0.17292130679473608;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.538;0.5;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Death Dealer;Minion;black;2.0;2.0;2.0;0.4676666666666666;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;;1.22;;;;0.75;;;;;;;;;;;;
Doomed Soldier;Minion;black;2.0;2.0;2.0;0.2333333333333333;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;0.7;;;;;;;;;
Ethereal Embrace;Spell;black;0.0;;;-0.2;0.0;-0.0;0.0;-0.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Flash Freeze;Spell;black;1.0;;;0.25;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Gate to the Underworld;Spell;black;4.0;;;0.17472729363461964;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.538;0.555;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Geodo, Walking Fortress;Minion;black;5.0;4.0;4.0;-0.07465425604686109;-0.822;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.8;;;0.9;;;;;;;;;;;;;;
Gloomy Infiltrator;Minion;black;3.0;2.0;3.0;0.2078359732404895;-0.35;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;1.6;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;;1.33;;;;;;;;
Grivous, Plaguehorde Commander;Minion;black;4.0;2.0;4.0;-0.21153900806248144;-0.822;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Horde;Token;black;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Imprisoned Imp;Minion;black;2.0;0.0;1.0;-0.030857379279581047;-1.46;0.0;2.85;0.0;0.0;0;-1.46;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;1.33;;;;;;;;
Invasive Architect;Minion;black;2.0;2.0;2.0;0.911258352230525;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;3.0;0;0.0;0.538;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Invasive Brute;Minion;black;2.0;2.0;2.0;0.16125835223052495;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.538;0.5;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Invasive Diplomat;Minion;black;2.0;2.0;2.0;0.31125835223052495;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.538;0.5;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Invasive Mothership;Minion;black;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Invasive Technomancer;Minion;black;2.0;2.0;2.0;0.3712583522305249;0.0;0.0;0.0;1.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.538;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Invasive Vanguard;Minion;black;2.0;2.0;2.0;0.881258352230525;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.538;0.5;0.0;0;0.0;0.0;-0.5;2.4;0.0;0.0;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Laios, Rotting King;Minion;black;3.0;1.0;3.0;-0.3044237600781018;-0.822;0.0;0.0;-0.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Magic Mirrors on the Wall;Spell;black;7.0;;;-0.07320000000000002;0.0;-0.0;0.0;-0.6;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;1.22;;;;;;;;;;;;;
March of the Plaguehorde;Spell;black;1.0;;;0.0;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Miautz, Criminal Mastermind;Minion;black;3.0;0.0;4.0;0.16557623992189824;-0.822;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.5;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.8;;;;;0.75;;;;;;;;;;;;
Mitril, the Forgotten;Minion;black;3.0;2.0;1.0;0.048079377768610126;-1.46;0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Mysterious Shade;Minion;black;2.0;3.0;2.0;0.049952935858667724;0.35;0.0;0.0;-0.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Otherworldly Slash;Spell;black;7.0;;;0.525;0.0;-0.0;0.0;0.0;0.0;0;0.0;1.8;0.0;0.0;0.0;0;2.4;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Patient Maiden;Minion;black;6.0;3.0;4.0;-0.4973841529054378;-3.482;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Rau, the Eternal;Minion;black;7.0;6.0;6.0;0.1577881199609491;-0.822;0.0;0.0;2.4;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Relentless Hunter;Minion;black;3.0;4.0;3.0;0.045706936310680964;0.35;0.0;0.0;-0.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.22;;;;;;;;;;;;;;;;
Restricted;Minion;black;6.0;0.0;6.0;-0.7213782092018493;-5.05;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Rising Mist;Spell;black;3.0;;;0.2375;0.0;-0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.75;;;;;;;;;;;;
Rot Away;Spell;black;7.0;;;0.475;0.0;-0.0;0.0;0.0;0.0;0;0.0;1.8;0.0;0.0;0.0;0;2.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Shining Drifter;Minion;black;1.0;0.0;2.0;0.25;0.0;0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;;;;;;;;;;
Stack the Deck;Spell;black;1.0;;;0.6000000000000001;0.0;-0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Temptation of the Night;Spell;black;2.0;;;0.4749999999999999;0.0;-0.0;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;;;;;;;;;;
Thing in the Ice;Minion;black;2.0;1.0;1.0;-0.04070626679683629;-0.822;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.5;0.0;0.0;0.0;0.2;0.0;0.0;;;;;;;;;;;;;;;;;;
Trivikrama, Gran Conqueror;Minion;black;2.0;2.0;2.0;0.6840089090458933;0.0;0.0;0.0;0.0;0.0;0;0.0;1.6;0.0;0.0;0.0;0;0.0;0.538;0.5;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;1.2;;;;;;;;;;;
Valdris, Undying Giant;Minion;black;10.0;8.0;8.0;0.07806962576446637;-2.32;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;3.2;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;1.22;;;;;;;;;;;;;;;;
Vanish;Spell;black;2.0;;;0.0;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Vindictive Spirit;Minion;black;1.0;0.0;2.0;0.17328679513998632;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.347;;;;;;;;;;
Wrathful Vassal;Minion;black;4.0;4.0;4.0;0.09759999999999999;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;;1.22;;;;;;;;;;;;;;;;
Ziggurat;Territory;black;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Abominable Barrier;Spell;blue;1.0;;;0.0;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Ancient Cloud;Spell;blue;1.0;;;0.5;0.0;-0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Back Alley Assassin;Minion;blue;2.0;2.0;2.0;0.06666666666666667;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;;;;;;;;;;;;;;;;;;
Burn the Heretics;Spell;blue;3.0;;;0.6042367587674604;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;2.417;;;;
Burning Knowledge;Spell;blue;4.0;;;0.20999999999999996;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;2.1;;;;;;;;;
Crimson Hunter;Minion;blue;3.0;1.0;2.0;-0.3399007777892374;-1.46;0.0;0.0;0.0;;0;0.0;0.0;0.0;-0.3;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;1.2;0.0;0.0;0.7;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Cruel Ritual;Spell;blue;4.0;;;0.3069722457733622;0.0;-0.0;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;;;;;;;;;;
