id,name,type_line,color,cost_neutral,cost_color,atk,def,power_class,power_class_conf
55,"Lucard, Lord of Bats",Minion,blue,4.0,1.0,3.0,3.0,bilanciata,0.363
142,Wandering Forest,Minion,green,4.0,1.0,3.0,3.0,bilanciata,0.42
23,Death Dealer,Minion,black,0.0,2.0,2.0,2.0,bilanciata,0.445
222,Wise Herbologist,Minion,colorless,5.0,,2.0,2.0,bilanciata,0.446
100,"Birke, Protector of Life",Minion,green,0.0,3.0,3.0,3.0,bilanciata,0.457
10,"Miautz, Criminal Mastermind",Minion,black,0.0,3.0,0.0,4.0,bilanciata,0.479
42,Rot Away,Spell,black,5.0,2.0,,,bilanciata,0.48
104,"Disflora, Apex Hunter",Minion,green,4.0,2.0,2.0,2.0,bilanciata,0.485
106,Outrage,Spell,green,3.0,1.0,,,bilanciata,0.5
68,Burning Knowledge,Spell,blue,3.0,1.0,,,bilanciata,0.502
5,Gate to the Underworld,Spell,black,3.0,1.0,,,bilanciata,0.505
44,Temptation of the Night,Spell,black,0.0,2.0,,,bilanciata,0.526
66,Back Alley Assassin,Minion,blue,1.0,1.0,2.0,2.0,bilanciata,0.533
132,Migration of the Forsaken,Spell,green,0.0,1.0,,,bilanciata,0.543
119,Feral Shaman,Minion,green,1.0,1.0,2.0,2.0,bilanciata,0.544
43,Shining Drifter,Minion,black,0.0,1.0,0.0,2.0,bilanciata,0.546
130,Keeper of the Grove,Minion,green,1.0,3.0,2.0,4.0,bilanciata,0.562
135,Ravager,Minion,green,0.0,2.0,1.0,1.0,bilanciata,0.564
153,Reinforcements of the Army,Spell,red,1.0,1.0,,,bilanciata,0.576
175,Wildfire,Spell,red,1.0,1.0,,,bilanciata,0.591
92,Stoic Runehart,Minion,blue,2.0,2.0,3.0,3.0,bilanciata,0.597
27,Gloomy Infiltrator,Minion,black,2.0,1.0,2.0,3.0,bilanciata,0.605
178,Force in Exile,Minion,red,3.0,1.0,4.0,3.0,bilanciata,0.609
51,"Francus, Pope of Demise",Minion,blue,0.0,2.0,1.0,1.0,bilanciata,0.613
128,Insector Scrabble,Minion,green,2.0,2.0,4.0,2.0,bilanciata,0.635
121,Forced Metamorphosis,Spell,green,1.0,1.0,,,bilanciata,0.637
102,"Braum, the Defiant",Minion,green,2.0,1.0,4.0,3.0,bilanciata,0.642
213,Realm Walker,Minion,colorless,3.0,,3.0,4.0,bilanciata,0.644
93,Trespass,Spell,blue,1.0,1.0,,,bilanciata,0.646
14,"Trivikrama, Gran Conqueror",Minion,black,0.0,2.0,2.0,2.0,bilanciata,0.651
217,Surprising Lama,Minion,colorless,2.0,,0.0,1.0,bilanciata,0.651
209,Mouse Seer,Minion,colorless,2.0,,0.0,1.0,bilanciata,0.652
49,"Edwin, Legendary Thief",Minion,blue,3.0,1.0,3.0,4.0,bilanciata,0.658
111,"Taxus, the Rotten",Minion,green,1.0,2.0,0.0,3.0,bilanciata,0.658
196,Black Rider,Minion,colorless,4.0,,3.0,4.0,bilanciata,0.67
212,Nordic Shield Master,Minion,colorless,4.0,,3.0,5.0,bilanciata,0.67
203,Fiendish Bookworm,Minion,colorless,2.0,,1.0,1.0,bilanciata,0.673
39,Relentless Hunter,Minion,black,2.0,1.0,4.0,3.0,bilanciata,0.674
171,Flameborn Bear,Minion,red,3.0,1.0,4.0,3.0,bilanciata,0.679
115,Commune with the Wilds,Spell,green,1.0,1.0,,,bilanciata,0.68
208,Mouse Herder,Minion,colorless,2.0,,0.0,4.0,bilanciata,0.681
201,Demonic Prophet,Minion,colorless,2.0,,0.0,4.0,bilanciata,0.682
71,Deadly Poison,Spell,blue,0.0,3.0,,,bilanciata,0.687
199,Caring Attendant,Minion,colorless,2.0,,2.0,3.0,bilanciata,0.687
158,Scorching Sun,Spell,red,0.0,2.0,,,bilanciata,0.689
116,Cruel Salvation,Spell,green,0.0,2.0,,,bilanciata,0.695
29,Invasive Architect,Minion,black,0.0,2.0,2.0,2.0,bilanciata,0.698
30,Invasive Brute,Minion,black,0.0,2.0,2.0,2.0,bilanciata,0.698
31,Invasive Diplomat,Minion,black,0.0,2.0,2.0,2.0,bilanciata,0.698
33,Invasive Technomancer,Minion,black,0.0,2.0,2.0,2.0,bilanciata,0.698
34,Invasive Vanguard,Minion,black,0.0,2.0,2.0,2.0,bilanciata,0.698
141,Territorial Bjorn,Minion,green,3.0,1.0,4.0,4.0,bilanciata,0.701
90,Rune of Power,Spell,blue,0.0,2.0,,,bilanciata,0.702
48,Wrathful Vassal,Minion,black,3.0,1.0,4.0,4.0,bilanciata,0.703
109,Rapid Decay,Spell,green,1.0,1.0,,,bilanciata,0.703
129,Insector Workerbee,Minion,green,1.0,1.0,1.0,1.0,bilanciata,0.71
180,Archfiend Lightning,Spell,red,0.0,2.0,,,bilanciata,0.711
17,Back Ritual,Spell,black,1.0,1.0,,,bilanciata,0.711
