name;type_line;color;cost_total;atk;def;efficiency;stats;draw;move;discard;negate;sacrifice;destroy;deal_damage;must_attack;summon_from_grave;mana_discount;scry;reveal_summon;reveal_draw;ramp;recycle;gain_life;sap;pump;mill;summon_token;trigger;legendary_debuff;impulsive;discard_opp;condition_mult;grant_keyword_mult;draw_conditional;aggressive;draw_topdeck;deal_damage_target;stealth;discard_self;deal_damage_minion_or_player;deal_damage_all_enemies;deal_damage_all_minions;discard_self_hand;deal_damage_opponent;always_sapped;protector
Arkos, Plagueborn;Minion;black;10.0;6.0;6.0;-0.5432927406823821;-10.023;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.8;1.22;;;;;;;;;;;;;;;;
Armoured Mole;Minion;black;1.0;0.0;1.0;0.42630623235258436;-0.247;0.0;0.8;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;;;;;;;;;;;;;;;;;;
Awaken the Meek;Quest;black;1.0;;;0.2518334746401732;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.0;0.3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Back Ritual;Spell;black;2.0;;;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Bad Omen;Spell;black;2.0;;;0.2912121560576994;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.538;0.555;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Black Door;Spell;black;2.0;;;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Bound by Darkness;Spell;black;1.0;;;14.000.000.000.000.000;0.0;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;3.5;;;;;;;;;;;;;;;
Brain Fog;Spell;black;1.0;;;1.079.583.686.600.430;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;2.159;;;;;;;;;;
Cold Impact;Spell;black;3.0;;;0.375;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Cold-Hearted Overseer;Minion;black;6.0;0.0;4.0;-0.1470497360780161;-3.544;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;1.5;1.2;0.0;0.0;0.0;;1.22;;;;;;;;;;;;;;;;
Dark Dealings;Spell;black;5.0;;;0.17292130679473608;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.538;0.5;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Death Dealer;Minion;black;2.0;2.0;2.0;0.4676666666666666;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;;1.22;;;;0.75;;;;;;;;;;;;
Doomed Soldier;Minion;black;2.0;2.0;2.0;0.2333333333333333;0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;0.7;;;;;;;;;
Ethereal Embrace;Spell;black;0.0;;;-0.2;0.0;0.0;-0.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Flash Freeze;Spell;black;1.0;;;0.25;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Gate to the Underworld;Spell;black;4.0;;;0.17472729363461964;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.538;0.555;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Geodo, Walking Fortress;Minion;black;5.0;4.0;4.0;-0.07465425604686109;-0.822;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.8;;;0.9;;;;;;;;;;;;;;
Gloomy Infiltrator;Minion;black;3.0;2.0;3.0;0.2139765129282471;-0.313;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;;1.33;;;;;;;;
Grivous, Plaguehorde Commander;Minion;black;4.0;2.0;4.0;-0.18740115034164068;-0.671;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Horde;Token;black;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Imprisoned Imp;Minion;black;2.0;0.0;1.0;0.3484177690685728;-1.032;2.85;0.0;0.0;0;-1.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;1.33;;;;;;;;
Invasive Architect;Minion;black;2.0;2.0;2.0;0.911258352230525;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;3.0;0.0;0.538;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Invasive Brute;Minion;black;2.0;2.0;2.0;0.16125835223052495;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.538;0.5;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Invasive Diplomat;Minion;black;2.0;2.0;2.0;0.31125835223052495;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.538;0.5;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Invasive Mothership;Minion;black;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Invasive Technomancer;Minion;black;2.0;2.0;2.0;0.3712583522305249;0.0;0.0;1.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.538;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Invasive Vanguard;Minion;black;2.0;2.0;2.0;0.881258352230525;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.538;0.5;0.0;0;0.0;0.0;-0.5;2.4;0.0;0.0;0.0;;;;0.9;;;;;;;;;;;;;;
Laios, Rotting King;Minion;black;3.0;1.0;3.0;-0.2562651557394157;-0.581;0.0;-0.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Magic Mirrors on the Wall;Spell;black;7.0;;;-0.07320000000000002;0.0;0.0;-0.6;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;1.22;;;;;;;;;;;;;
March of the Plaguehorde;Spell;black;1.0;;;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
